"_id",Sensor No,Temp,Time
60b498c85d08c1aeb6e5212b,38,25.7428,05/31/2021 11:05:28
60b498c85d08c1aeb6e5212c,39,26.0767,05/31/2021 11:05:28
60b498c85d08c1aeb6e5212d,40,25.0527,05/31/2021 11:05:28
60b498c85d08c1aeb6e5212e,41,25.0388,05/31/2021 11:05:28
60b498c85d08c1aeb6e5212f,42,24.2936,05/31/2021 11:05:28
60b498c85d08c1aeb6e52130,43,23.6826,05/31/2021 11:05:28
60b498c85d08c1aeb6e52131,44,23.432,05/31/2021 11:05:28
60b498c85d08c1aeb6e52132,45,24.042,05/31/2021 11:05:28
60b498c85d08c1aeb6e52133,46,23.9053,05/31/2021 11:05:28
60b498c85d08c1aeb6e52134,47,24.1919,05/31/2021 11:05:28
60b498c85d08c1aeb6e52135,48,23.4182,05/31/2021 11:05:28
60b498c85d08c1aeb6e52136,49,23.818,05/31/2021 11:05:28
60b498c85d08c1aeb6e52137,50,23.6813,05/31/2021 11:05:28
60b498cb9eb5eb280a6374fd,1,27.6122,05/31/2021 11:05:31
60b498cb9eb5eb280a6374fe,2,27.7083,05/31/2021 11:05:31
60b498cb9eb5eb280a6374ff,3,27.9816,05/31/2021 11:05:31
60b498cb9eb5eb280a637500,4,27.8265,05/31/2021 11:05:31
60b498cb9eb5eb280a637501,5,28.0939,05/31/2021 11:05:31
60b498cb9eb5eb280a637502,6,27.5982,05/31/2021 11:05:31
60b498cb9eb5eb280a637503,7,25.8437,05/31/2021 11:05:31
60b498cb9eb5eb280a637504,8,25.7251,05/31/2021 11:05:31
60b498cb9eb5eb280a637505,9,25.176,05/31/2021 11:05:31
60b498cb9eb5eb280a637506,10,26.6562,05/31/2021 11:05:31
60b498cb9eb5eb280a637507,11,27.0628,05/31/2021 11:05:31
60b498cb9eb5eb280a637508,12,27.0727,05/31/2021 11:05:31
60b498cb9eb5eb280a637509,13,26.7562,05/31/2021 11:05:31
60b498cb9eb5eb280a63750a,14,25.7112,05/31/2021 11:05:31
60b498cb9eb5eb280a63750b,15,26.3967,05/31/2021 11:05:31
60b498cb9eb5eb280a63750c,16,27.0273,05/31/2021 11:05:31
60b498cb9eb5eb280a63750d,17,27.0722,05/31/2021 11:05:31
60b498cb9eb5eb280a63750e,18,26.9395,05/31/2021 11:05:31
60b498cb9eb5eb280a63750f,19,25.3289,05/31/2021 11:05:31
60b498cb9eb5eb280a637510,20,25.6285,05/31/2021 11:05:31
60b498cb9eb5eb280a637511,21,25.381,05/31/2021 11:05:31
60b498cb9eb5eb280a637512,22,25.6345,05/31/2021 11:05:31
60b498cb9eb5eb280a637513,23,25.6557,05/31/2021 11:05:31
60b498cb9eb5eb280a637514,24,25.565,05/31/2021 11:05:31
60b498cb9eb5eb280a637515,25,25.7577,05/31/2021 11:05:31
60b498cb9eb5eb280a637516,26,25.665,05/31/2021 11:05:31
60b498cb9eb5eb280a637517,27,25.5089,05/31/2021 11:05:31
60b498cb9eb5eb280a637518,28,25.8562,05/31/2021 11:05:31
60b498cb9eb5eb280a637519,29,25.9721,05/31/2021 11:05:31
60b498cb9eb5eb280a63751a,30,25.5028,05/31/2021 11:05:31
60b498cb9eb5eb280a63751b,31,26.0825,05/31/2021 11:05:31
60b498cb9eb5eb280a63751c,32,25.8838,05/31/2021 11:05:31
60b498cb9eb5eb280a63751d,33,25.9067,05/31/2021 11:05:31
60b498cb9eb5eb280a63751e,34,25.864,05/31/2021 11:05:31
60b498cb9eb5eb280a63751f,35,25.707,05/31/2021 11:05:31
60b498cb9eb5eb280a637520,36,25.4674,05/31/2021 11:05:31
60b498cb9eb5eb280a637521,37,25.5607,05/31/2021 11:05:31
60b498cb9eb5eb280a637522,38,25.7428,05/31/2021 11:05:31
60b498cb9eb5eb280a637523,39,26.0767,05/31/2021 11:05:31
